timestamp,phase,script_name,action,input_paths,output_paths,status,research_rows,current_position_rows,new_candidate_rows,eligible_buy_review_count,email_sent,scheduler_used,broker_used,smtp_config_modified,archived_legacy_used,safety_notes
2026-07-09T15:50:02-05:00,phase5r_c5,create_phase5r_c5_research_queue.py,create_weekly_research_queue,05_risk_and_positions/current_positions.local.csv;05_risk_and_positions/phase5r_c4r_portfolio_concentration_report.csv;03_source_data/phase5r/phase5r_b2_signal_scores.csv,04_research/realtime_stock_picker_phase5r/phase5r_c5_research_queue.csv,complete,9,2,7,0,no,no,no,no,no,weekly_only=yes; current_positions_local_only=yes; manual_review_only=yes
2026-07-09T15:50:05-05:00,phase5r_c5,create_phase5r_c5_company_research_packets.py,create_controlled_company_research_packets,04_research/realtime_stock_picker_phase5r/phase5r_c5_research_queue.csv;03_source_data/phase5r/phase5r_b2_market_data_snapshot.csv;05_risk_and_positions/current_positions.local.csv,04_research/realtime_stock_picker_phase5r/phase5r_c5_company_research_packets.csv,complete,9,2,7,0,no,no,no,no,no,controlled_primary_sources=yes; public_market_data_read_only=yes; manual_review_only=yes
2026-07-09T15:50:05-05:00,phase5r_c5,score_phase5r_c5_weekly_conviction.py,score_weekly_conviction,04_research/realtime_stock_picker_phase5r/phase5r_c5_company_research_packets.csv;05_risk_and_positions/phase5r_c4r_portfolio_concentration_report.csv,04_research/realtime_stock_picker_phase5r/phase5r_c5_weekly_conviction_scores.csv;04_research/realtime_stock_picker_phase5r/phase5r_c5_position_review_recommendations.csv;04_research/realtime_stock_picker_phase5r/phase5r_c5_new_candidate_recommendations.csv,complete,9,2,7,0,no,no,no,no,no,weighted_weekly_score=yes; concentration_override=yes; manual_review_only=yes
2026-07-09T15:50:05-05:00,phase5r_c5,create_phase5r_c5_weekly_conviction_memo.py,create_weekly_conviction_memo,04_research/realtime_stock_picker_phase5r/phase5r_c5_weekly_conviction_scores.csv;04_research/realtime_stock_picker_phase5r/phase5r_c5_position_review_recommendations.csv;04_research/realtime_stock_picker_phase5r/phase5r_c5_new_candidate_recommendations.csv,04_research/realtime_stock_picker_phase5r/phase5r_c5_weekly_conviction_memo.md,complete,9,2,7,0,no,no,no,no,no,weekly_memo_only=yes; no_delivery=yes; manual_review_only=yes
2026-07-09T15:50:10-05:00,phase5r_c5,verify_phase5r_c5_deep_research_boundary.py,verify_deep_research_boundary,phase5r_c5_generated_outputs,00_project_control/phase5r_c5_verification_report.md;04_research/realtime_stock_picker_phase5r/phase5r_c5_verification_report.md,complete,9,2,7,0,no,no,no,no,no,boundary_checks_complete=yes; credentials_not_read=yes; manual_review_only=yes
2026-07-09T15:51:16-05:00,phase5r_c5,verify_phase5r_c5_deep_research_boundary.py,verify_deep_research_boundary,phase5r_c5_generated_outputs,00_project_control/phase5r_c5_verification_report.md;04_research/realtime_stock_picker_phase5r/phase5r_c5_verification_report.md,complete,9,2,7,0,no,no,no,no,no,boundary_checks_complete=yes; credentials_not_read=yes; manual_review_only=yes
2026-07-09T16:31:34-05:00,phase5r_c5,create_phase5r_c5_research_queue.py,create_weekly_research_queue,05_risk_and_positions/current_positions.local.csv;05_risk_and_positions/phase5r_c4r_portfolio_concentration_report.csv;03_source_data/phase5r/phase5r_b2_signal_scores.csv,04_research/realtime_stock_picker_phase5r/phase5r_c5_research_queue.csv,complete,10,2,8,0,no,no,no,no,no,weekly_only=yes; current_positions_local_only=yes; manual_review_only=yes
2026-07-09T16:32:33-05:00,phase5r_c5,create_phase5r_c5_research_queue.py,create_weekly_research_queue,05_risk_and_positions/current_positions.local.csv;05_risk_and_positions/phase5r_c4r_portfolio_concentration_report.csv;03_source_data/phase5r/phase5r_b2_signal_scores.csv,04_research/realtime_stock_picker_phase5r/phase5r_c5_research_queue.csv,complete,9,2,7,0,no,no,no,no,no,weekly_only=yes; current_positions_local_only=yes; manual_review_only=yes
2026-07-09T16:32:36-05:00,phase5r_c5,create_phase5r_c5_company_research_packets.py,create_controlled_company_research_packets,04_research/realtime_stock_picker_phase5r/phase5r_c5_research_queue.csv;03_source_data/phase5r/phase5r_b2_market_data_snapshot.csv;05_risk_and_positions/current_positions.local.csv,04_research/realtime_stock_picker_phase5r/phase5r_c5_company_research_packets.csv,complete,9,2,7,0,no,no,no,no,no,controlled_primary_sources=yes; public_market_data_read_only=yes; manual_review_only=yes
2026-07-09T16:32:36-05:00,phase5r_c5,score_phase5r_c5_weekly_conviction.py,score_weekly_conviction,04_research/realtime_stock_picker_phase5r/phase5r_c5_company_research_packets.csv;05_risk_and_positions/phase5r_c4r_portfolio_concentration_report.csv,04_research/realtime_stock_picker_phase5r/phase5r_c5_weekly_conviction_scores.csv;04_research/realtime_stock_picker_phase5r/phase5r_c5_position_review_recommendations.csv;04_research/realtime_stock_picker_phase5r/phase5r_c5_new_candidate_recommendations.csv,complete,9,2,7,0,no,no,no,no,no,weighted_weekly_score=yes; concentration_override=yes; manual_review_only=yes
2026-07-09T16:32:36-05:00,phase5r_c5,create_phase5r_c5_weekly_conviction_memo.py,create_weekly_conviction_memo,04_research/realtime_stock_picker_phase5r/phase5r_c5_weekly_conviction_scores.csv;04_research/realtime_stock_picker_phase5r/phase5r_c5_position_review_recommendations.csv;04_research/realtime_stock_picker_phase5r/phase5r_c5_new_candidate_recommendations.csv,04_research/realtime_stock_picker_phase5r/phase5r_c5_weekly_conviction_memo.md,complete,9,2,7,0,no,no,no,no,no,weekly_memo_only=yes; no_delivery=yes; manual_review_only=yes
